Day,AnimalCount,PlantCount,EmptyBoxesCount,AverageEnergy,AverageLifeLength,AverageChildrenCount,MostCommonGenome
1,6,6,15,82.50,0.00,0.33,agh.ics.oop.model.Genomes.Genomes@10cf6f9f
2,7,5,15,70.29,0.00,0.57,agh.ics.oop.model.Genomes.Genomes@10cf6f9f
3,9,6,14,54.22,0.00,0.89,agh.ics.oop.model.Genomes.Genomes@10cf6f9f
4,10,6,13,48.20,0.00,1.00,agh.ics.oop.model.Genomes.Genomes@10cf6f9f
5,12,7,11,39.58,0.00,1.17,agh.ics.oop.model.Genomes.Genomes@10cf6f9f
6,14,7,10,33.29,0.00,1.29,agh.ics.oop.model.Genomes.Genomes@41ded19d
7,17,7,9,26.76,0.00,1.41,agh.ics.oop.model.Genomes.Genomes@a143daa2
8,18,5,8,24.89,6.00,1.50,agh.ics.oop.model.Genomes.Genomes@a143daa2
9,17,5,8,25.76,5.33,1.53,agh.ics.oop.model.Genomes.Genomes@9ec9e429
10,19,5,8,22.47,5.33,1.58,agh.ics.oop.model.Genomes.Genomes@9ec9e429
11,19,5,7,21.68,5.50,1.63,agh.ics.oop.model.Genomes.Genomes@9ec9e429
12,17,6,3,23.47,6.43,1.82,agh.ics.oop.model.Genomes.Genomes@9ec9e429
13,16,5,6,24.56,6.33,1.94,agh.ics.oop.model.Genomes.Genomes@9ec9e429
14,15,4,9,25.67,6.73,2.13,agh.ics.oop.model.Genomes.Genomes@9ec9e429
15,16,5,11,23.19,6.67,2.19,agh.ics.oop.model.Genomes.Genomes@a7020c20
16,18,5,13,19.94,6.62,2.22,agh.ics.oop.model.Genomes.Genomes@a7020c20
17,20,4,11,17.55,6.57,2.25,agh.ics.oop.model.Genomes.Genomes@a7020c20
18,23,5,9,14.39,6.57,2.22,agh.ics.oop.model.Genomes.Genomes@a7020c20
19,22,4,8,14.55,7.53,2.36,agh.ics.oop.model.Genomes.Genomes@9919907d
20,23,2,8,13.35,7.53,2.35,agh.ics.oop.model.Genomes.Genomes@9919907d
21,25,2,10,11.64,7.44,2.36,agh.ics.oop.model.Genomes.Genomes@9919907d
22,25,3,8,10.88,7.38,2.48,agh.ics.oop.model.Genomes.Genomes@9919907d
23,23,3,6,11.13,7.33,2.65,agh.ics.oop.model.Genomes.Genomes@9919907d
24,21,2,6,11.71,7.79,2.19,agh.ics.oop.model.Genomes.Genomes@9919907d
25,21,4,7,10.81,7.67,2.29,agh.ics.oop.model.Genomes.Genomes@a749f52c
26,21,2,11,10.38,7.97,2.43,agh.ics.oop.model.Genomes.Genomes@a749f52c
27,21,3,8,9.67,7.97,2.57,agh.ics.oop.model.Genomes.Genomes@a749f52c
28,21,3,10,9.05,8.03,2.67,agh.ics.oop.model.Genomes.Genomes@a749f52c
29,23,4,11,7.57,8.20,2.74,agh.ics.oop.model.Genomes.Genomes@10cf6f03
30,24,2,9,6.75,8.17,2.79,agh.ics.oop.model.Genomes.Genomes@10cf6f03
31,22,2,6,6.59,8.07,3.00,agh.ics.oop.model.Genomes.Genomes@a700bea3
32,22,2,11,5.95,7.98,3.09,agh.ics.oop.model.Genomes.Genomes@a700bea3
33,20,3,7,5.75,7.94,3.30,agh.ics.oop.model.Genomes.Genomes@a660167
34,19,3,9,5.42,7.92,3.47,agh.ics.oop.model.Genomes.Genomes@a660167
35,17,3,9,5.41,7.85,3.76,agh.ics.oop.model.Genomes.Genomes@a660167
36,15,4,10,5.33,8.32,3.33,agh.ics.oop.model.Genomes.Genomes@a660167
37,12,3,10,6.42,8.25,3.92,agh.ics.oop.model.Genomes.Genomes@10cf6f9f
38,10,5,9,6.70,8.77,3.20,agh.ics.oop.model.Genomes.Genomes@10cf6f9f
39,10,6,10,6.00,8.77,3.20,agh.ics.oop.model.Genomes.Genomes@10cf6f9f
40,10,5,12,5.70,8.81,3.40,agh.ics.oop.model.Genomes.Genomes@10cf6f9f
41,8,3,14,7.25,8.89,3.75,agh.ics.oop.model.Genomes.Genomes@10cf6f9f
42,8,4,13,6.63,8.89,3.75,agh.ics.oop.model.Genomes.Genomes@10cf6f9f
43,8,4,14,6.38,8.89,3.75,agh.ics.oop.model.Genomes.Genomes@10cf6f9f
44,7,4,13,7.14,8.97,4.29,agh.ics.oop.model.Genomes.Genomes@10cf6f9f
45,7,5,13,6.57,8.97,4.29,agh.ics.oop.model.Genomes.Genomes@10cf6f9f
46,7,4,15,6.14,9.04,4.57,agh.ics.oop.model.Genomes.Genomes@10cf6f9f
47,8,4,15,4.88,9.04,4.25,agh.ics.oop.model.Genomes.Genomes@10cf6f9f
48,6,3,15,6.50,9.20,5.50,agh.ics.oop.model.Genomes.Genomes@10cf6f9f
49,6,4,15,6.00,9.20,5.50,agh.ics.oop.model.Genomes.Genomes@10cf6f9f
50,6,5,14,5.50,9.20,5.50,agh.ics.oop.model.Genomes.Genomes@10cf6f9f
51,6,4,15,6.00,9.20,5.50,agh.ics.oop.model.Genomes.Genomes@10cf6f9f
52,6,4,17,6.00,9.20,5.50,agh.ics.oop.model.Genomes.Genomes@10cf6f9f
53,6,5,14,5.00,9.20,5.50,agh.ics.oop.model.Genomes.Genomes@10cf6f9f
