Day,AnimalCount,PlantCount,EmptyBoxesCount,AverageEnergy,AverageLifeLength,AverageChildrenCount,MostCommonGenome
1,1,4,20,0.00,0.00,0.00,[5]
2,0,7,17,0.00,2.00,0.00,null
3,0,9,16,0.00,2.00,0.00,null
4,0,11,14,0.00,2.00,0.00,null
5,0,11,14,0.00,2.00,0.00,null
6,0,12,13,0.00,2.00,0.00,null
7,0,13,12,0.00,2.00,0.00,null
8,0,13,12,0.00,2.00,0.00,null
9,0,13,12,0.00,2.00,0.00,null
10,0,15,10,0.00,2.00,0.00,null
11,0,16,9,0.00,2.00,0.00,null
12,0,16,9,0.00,2.00,0.00,null
13,0,16,9,0.00,2.00,0.00,null
14,0,16,9,0.00,2.00,0.00,null
15,0,17,8,0.00,2.00,0.00,null
16,0,18,7,0.00,2.00,0.00,null
17,0,18,7,0.00,2.00,0.00,null
18,0,19,6,0.00,2.00,0.00,null
19,0,20,5,0.00,2.00,0.00,null
20,0,20,5,0.00,2.00,0.00,null
21,0,20,5,0.00,2.00,0.00,null
22,0,20,5,0.00,2.00,0.00,null
23,0,20,5,0.00,2.00,0.00,null
24,0,20,5,0.00,2.00,0.00,null
