Day,AnimalCount,PlantCount,EmptyBoxesCount,AverageEnergy,AverageLifeLength,AverageChildrenCount,MostCommonGenome
1,5,4,17,3.20,0.00,0.00,agh.ics.oop.model.Genomes.Genomes@fe2065a3
2,5,5,15,2.80,0.00,0.00,agh.ics.oop.model.Genomes.Genomes@fe2065a3
3,5,6,14,2.40,0.00,0.00,agh.ics.oop.model.Genomes.Genomes@fe2065a3
4,4,7,14,2.00,4.00,0.00,agh.ics.oop.model.Genomes.Genomes@36b64bca
5,4,8,14,1.75,4.00,0.00,agh.ics.oop.model.Genomes.Genomes@36b64bca
6,4,9,13,0.75,4.00,0.00,agh.ics.oop.model.Genomes.Genomes@36b64bca
7,1,9,13,2.00,6.25,0.00,agh.ics.oop.model.Genomes.Genomes@36b64bca
8,1,10,14,4.00,6.25,0.00,agh.ics.oop.model.Genomes.Genomes@36b64bca
9,1,10,14,6.00,6.25,0.00,agh.ics.oop.model.Genomes.Genomes@36b64bca
10,1,10,14,5.00,6.25,0.00,agh.ics.oop.model.Genomes.Genomes@36b64bca
11,1,10,14,7.00,6.25,0.00,agh.ics.oop.model.Genomes.Genomes@36b64bca
12,1,11,13,9.00,6.25,0.00,agh.ics.oop.model.Genomes.Genomes@36b64bca
13,1,12,12,8.00,6.25,0.00,agh.ics.oop.model.Genomes.Genomes@36b64bca
14,1,14,10,7.00,6.25,0.00,agh.ics.oop.model.Genomes.Genomes@36b64bca
