Day,AnimalCount,PlantCount,EmptyBoxesCount,AverageEnergy,AverageLifeLength,AverageChildrenCount,MostCommonGenome
1,5,6,14,2.00,0.00,0.00,agh.ics.oop.model.Genomes.Genomes@7b711e5
2,5,7,13,1.60,0.00,0.00,agh.ics.oop.model.Genomes.Genomes@d4c9c6eb
3,5,5,15,1.80,0.00,0.00,agh.ics.oop.model.Genomes.Genomes@7b711e5
4,3,7,14,2.00,4.00,0.00,agh.ics.oop.model.Genomes.Genomes@d4c9c6eb
5,3,7,15,3.00,4.00,0.00,agh.ics.oop.model.Genomes.Genomes@d4c9c6eb
6,3,8,14,3.00,4.00,0.00,agh.ics.oop.model.Genomes.Genomes@7b711e5
7,3,8,14,4.00,4.00,0.00,agh.ics.oop.model.Genomes.Genomes@7b711e5
8,3,10,13,3.00,4.00,0.00,agh.ics.oop.model.Genomes.Genomes@7b711e5
9,3,12,11,2.00,4.00,0.00,agh.ics.oop.model.Genomes.Genomes@7b711e5
10,2,12,11,3.50,6.00,0.00,agh.ics.oop.model.Genomes.Genomes@d4c9c6eb
11,2,13,10,2.50,6.00,0.00,agh.ics.oop.model.Genomes.Genomes@d4c9c6eb
12,2,13,10,3.00,6.00,0.00,agh.ics.oop.model.Genomes.Genomes@d4c9c6eb
13,1,15,9,5.00,7.75,0.00,agh.ics.oop.model.Genomes.Genomes@e017d3e
14,1,15,9,7.00,7.75,0.00,agh.ics.oop.model.Genomes.Genomes@e017d3e
15,1,16,8,6.00,7.75,0.00,agh.ics.oop.model.Genomes.Genomes@e017d3e
16,1,16,8,8.00,7.75,0.00,agh.ics.oop.model.Genomes.Genomes@e017d3e
17,1,16,8,7.00,7.75,0.00,agh.ics.oop.model.Genomes.Genomes@e017d3e
18,1,16,8,9.00,7.75,0.00,agh.ics.oop.model.Genomes.Genomes@e017d3e
19,1,17,7,8.00,7.75,0.00,agh.ics.oop.model.Genomes.Genomes@e017d3e
20,1,17,7,7.00,7.75,0.00,agh.ics.oop.model.Genomes.Genomes@e017d3e
21,1,18,6,6.00,7.75,0.00,agh.ics.oop.model.Genomes.Genomes@e017d3e
22,1,17,7,8.00,7.75,0.00,agh.ics.oop.model.Genomes.Genomes@e017d3e
23,1,16,8,10.00,7.75,0.00,agh.ics.oop.model.Genomes.Genomes@e017d3e
24,1,16,8,9.00,7.75,0.00,agh.ics.oop.model.Genomes.Genomes@e017d3e
25,1,16,8,8.00,7.75,0.00,agh.ics.oop.model.Genomes.Genomes@e017d3e
26,1,16,8,7.00,7.75,0.00,agh.ics.oop.model.Genomes.Genomes@e017d3e
27,1,15,9,9.00,7.75,0.00,agh.ics.oop.model.Genomes.Genomes@e017d3e
28,1,15,9,8.00,7.75,0.00,agh.ics.oop.model.Genomes.Genomes@e017d3e
29,1,15,9,7.00,7.75,0.00,agh.ics.oop.model.Genomes.Genomes@e017d3e
30,1,16,8,9.00,7.75,0.00,agh.ics.oop.model.Genomes.Genomes@e017d3e
31,1,16,8,11.00,7.75,0.00,agh.ics.oop.model.Genomes.Genomes@e017d3e
32,1,15,9,13.00,7.75,0.00,agh.ics.oop.model.Genomes.Genomes@e017d3e
