Day,AnimalCount,PlantCount,EmptyBoxesCount,AverageEnergy,AverageLifeLength,AverageChildrenCount,MostCommonGenome
1,5,6,14,99.00,0.00,0.00,agh.ics.oop.model.Genomes.Genomes@a81c681c
2,5,6,14,98.00,0.00,0.00,agh.ics.oop.model.Genomes.Genomes@a81c681c
3,6,7,14,80.83,0.00,0.33,agh.ics.oop.model.Genomes.Genomes@a81c681c
4,7,7,13,69.29,0.00,0.57,agh.ics.oop.model.Genomes.Genomes@dcb9e3f9
5,8,8,11,60.13,0.00,0.75,agh.ics.oop.model.Genomes.Genomes@dcb9e3f9
6,9,7,11,53.22,0.00,0.89,agh.ics.oop.model.Genomes.Genomes@a81c681c
7,10,5,12,47.60,0.00,1.00,agh.ics.oop.model.Genomes.Genomes@dcb9e3f9
8,10,6,10,46.60,0.00,1.00,agh.ics.oop.model.Genomes.Genomes@a81c681c
9,11,5,12,42.09,6.00,1.18,agh.ics.oop.model.Genomes.Genomes@dcb9e3f9
10,12,4,11,38.42,6.00,1.25,agh.ics.oop.model.Genomes.Genomes@dcb9e3f9
11,11,3,11,41.73,6.00,1.27,agh.ics.oop.model.Genomes.Genomes@dcb9e3f9
12,13,3,14,34.69,6.00,1.38,agh.ics.oop.model.Genomes.Genomes@dcb9e3f9
13,15,4,13,29.20,6.00,1.47,agh.ics.oop.model.Genomes.Genomes@dcb9e3f9
14,15,4,9,28.60,6.00,1.47,agh.ics.oop.model.Genomes.Genomes@dcb9e3f9
15,16,3,10,26.25,6.00,1.50,agh.ics.oop.model.Genomes.Genomes@a81c681c
16,16,3,11,25.50,8.00,1.56,agh.ics.oop.model.Genomes.Genomes@a81c681c
17,18,2,11,22.11,8.00,1.61,agh.ics.oop.model.Genomes.Genomes@a81c681c
18,14,2,12,27.93,8.13,1.93,agh.ics.oop.model.Genomes.Genomes@a81c681c
19,15,3,11,25.33,8.13,1.93,agh.ics.oop.model.Genomes.Genomes@a81c681c
20,15,3,10,24.60,8.78,2.07,agh.ics.oop.model.Genomes.Genomes@a81c681c
21,17,5,10,20.82,8.78,2.06,agh.ics.oop.model.Genomes.Genomes@a81c681c
22,13,4,10,26.69,8.85,2.38,agh.ics.oop.model.Genomes.Genomes@a81c681c
