Day,AnimalCount,PlantCount,EmptyBoxesCount,AverageEnergy,AverageLifeLength,AverageChildrenCount,MostCommonGenome
1,5,5,15,2.60,0.00,0.00,10724076
2,5,6,14,2.20,0.00,0.00,10724076
3,5,7,13,1.20,0.00,0.00,10724076
4,2,6,16,5.00,4.00,0.00,10724076
5,2,7,16,5.50,4.00,0.00,10724076
6,2,9,14,4.50,4.00,0.00,10724076
7,2,9,14,3.50,4.00,0.00,10724076
8,2,10,13,2.50,4.00,0.00,10724076
9,2,10,13,1.50,4.00,0.00,10724076
10,1,10,14,2.00,5.50,0.00,74506670
11,1,10,14,1.00,5.50,0.00,74506670
12,1,10,14,3.00,5.50,0.00,74506670
13,1,11,13,5.00,5.50,0.00,74506670
14,1,11,13,4.00,5.50,0.00,74506670
15,1,11,13,6.00,5.50,0.00,74506670
16,1,12,12,5.00,5.50,0.00,74506670
17,1,12,12,7.00,5.50,0.00,74506670
18,1,12,12,9.00,5.50,0.00,74506670
19,1,12,12,11.00,5.50,0.00,74506670
20,1,12,12,13.00,5.50,0.00,74506670
21,1,11,13,15.00,5.50,0.00,74506670
22,1,13,11,14.00,5.50,0.00,74506670
23,1,12,12,16.00,5.50,0.00,74506670
24,1,11,13,18.00,5.50,0.00,74506670
25,1,11,13,20.00,5.50,0.00,74506670
26,1,10,14,22.00,5.50,0.00,74506670
27,1,12,12,21.00,5.50,0.00,74506670
28,1,11,13,23.00,5.50,0.00,74506670
29,1,12,12,25.00,5.50,0.00,74506670
30,1,12,12,24.00,5.50,0.00,74506670
31,1,12,12,26.00,5.50,0.00,74506670
32,1,13,11,25.00,5.50,0.00,74506670
33,1,14,10,24.00,5.50,0.00,74506670
34,1,15,9,23.00,5.50,0.00,74506670
35,1,15,9,22.00,5.50,0.00,74506670
36,1,14,10,24.00,5.50,0.00,74506670
37,1,13,11,26.00,5.50,0.00,74506670
38,1,13,11,25.00,5.50,0.00,74506670
39,1,13,11,27.00,5.50,0.00,74506670
40,1,12,12,29.00,5.50,0.00,74506670
41,1,11,13,31.00,5.50,0.00,74506670
42,1,11,13,30.00,5.50,0.00,74506670
43,1,12,12,29.00,5.50,0.00,74506670
44,1,14,10,28.00,5.50,0.00,74506670
45,1,14,10,27.00,5.50,0.00,74506670
46,1,15,9,26.00,5.50,0.00,74506670
47,1,16,8,25.00,5.50,0.00,74506670
48,1,17,7,24.00,5.50,0.00,74506670
49,1,16,8,26.00,5.50,0.00,74506670
50,1,16,8,25.00,5.50,0.00,74506670
51,1,15,9,27.00,5.50,0.00,74506670
52,1,15,9,26.00,5.50,0.00,74506670
53,1,15,9,25.00,5.50,0.00,74506670
54,1,15,9,24.00,5.50,0.00,74506670
55,1,15,9,23.00,5.50,0.00,74506670
56,1,16,8,22.00,5.50,0.00,74506670
57,1,16,8,21.00,5.50,0.00,74506670
58,1,16,8,20.00,5.50,0.00,74506670
59,1,17,7,19.00,5.50,0.00,74506670
60,1,18,6,18.00,5.50,0.00,74506670
61,1,18,6,20.00,5.50,0.00,74506670
62,1,18,6,19.00,5.50,0.00,74506670
63,1,19,5,21.00,5.50,0.00,74506670
64,1,18,6,23.00,5.50,0.00,74506670
65,1,17,7,25.00,5.50,0.00,74506670
66,1,16,8,27.00,5.50,0.00,74506670
67,1,15,9,29.00,5.50,0.00,74506670
68,1,14,10,31.00,5.50,0.00,74506670
69,1,13,11,33.00,5.50,0.00,74506670
70,1,14,10,32.00,5.50,0.00,74506670
71,1,14,10,31.00,5.50,0.00,74506670
72,1,14,10,30.00,5.50,0.00,74506670
73,1,14,10,32.00,5.50,0.00,74506670
74,1,16,8,31.00,5.50,0.00,74506670
75,1,16,8,30.00,5.50,0.00,74506670
76,1,15,9,32.00,5.50,0.00,74506670
77,1,15,9,34.00,5.50,0.00,74506670
78,1,15,9,36.00,5.50,0.00,74506670
79,1,14,10,38.00,5.50,0.00,74506670
80,1,14,10,40.00,5.50,0.00,74506670
81,1,15,9,42.00,5.50,0.00,74506670
82,1,15,9,44.00,5.50,0.00,74506670
83,1,15,9,46.00,5.50,0.00,74506670
84,1,14,10,48.00,5.50,0.00,74506670
85,1,15,9,50.00,5.50,0.00,74506670
86,1,15,9,49.00,5.50,0.00,74506670
87,1,15,9,51.00,5.50,0.00,74506670
88,1,16,8,53.00,5.50,0.00,74506670
89,1,16,8,55.00,5.50,0.00,74506670
90,1,17,7,54.00,5.50,0.00,74506670
91,1,17,7,56.00,5.50,0.00,74506670
92,1,17,7,58.00,5.50,0.00,74506670
93,1,16,8,60.00,5.50,0.00,74506670
94,1,17,7,59.00,5.50,0.00,74506670
95,1,17,7,58.00,5.50,0.00,74506670
96,1,17,7,57.00,5.50,0.00,74506670
