Day,AnimalCount,PlantCount,EmptyBoxesCount,AverageEnergy,AverageLifeLength,AverageChildrenCount,MostCommonGenome
1,5,3,17,3.80,0.00,0.00,agh.ics.oop.model.Genomes.Genomes@a4779a46
2,5,3,17,3.40,0.00,0.00,agh.ics.oop.model.Genomes.Genomes@a4779a46
3,5,4,16,2.40,0.00,0.00,agh.ics.oop.model.Genomes.Genomes@a4779a46
4,4,4,16,2.75,4.00,0.00,agh.ics.oop.model.Genomes.Genomes@a4779a46
5,4,5,16,1.75,4.00,0.00,agh.ics.oop.model.Genomes.Genomes@a4779a46
6,4,6,15,0.75,4.00,0.00,agh.ics.oop.model.Genomes.Genomes@a4779a46
7,1,7,15,2.00,6.25,0.00,agh.ics.oop.model.Genomes.Genomes@a54110ff
8,1,9,15,1.00,6.25,0.00,agh.ics.oop.model.Genomes.Genomes@a54110ff
9,1,9,15,3.00,6.25,0.00,agh.ics.oop.model.Genomes.Genomes@a54110ff
10,1,11,13,2.00,6.25,0.00,agh.ics.oop.model.Genomes.Genomes@a54110ff
11,1,10,14,4.00,6.25,0.00,agh.ics.oop.model.Genomes.Genomes@a54110ff
12,1,11,13,3.00,6.25,0.00,agh.ics.oop.model.Genomes.Genomes@a54110ff
13,1,12,12,5.00,6.25,0.00,agh.ics.oop.model.Genomes.Genomes@a54110ff
14,1,11,13,7.00,6.25,0.00,agh.ics.oop.model.Genomes.Genomes@a54110ff
