Day,AnimalCount,PlantCount,EmptyBoxesCount,AverageEnergy,AverageLifeLength,AverageChildrenCount,MostCommonGenome
1,5,6,14,2.00,0.00,0.00,agh.ics.oop.model.Genomes.Genomes@ab615f43
2,5,5,15,2.20,0.00,0.00,agh.ics.oop.model.Genomes.Genomes@ab615f43
3,5,4,17,2.40,0.00,0.00,agh.ics.oop.model.Genomes.Genomes@ab615f43
4,3,5,16,3.00,4.00,0.00,agh.ics.oop.model.Genomes.Genomes@ab615f43
5,3,5,17,4.00,4.00,0.00,agh.ics.oop.model.Genomes.Genomes@ab615f43
6,3,4,18,6.00,4.00,0.00,agh.ics.oop.model.Genomes.Genomes@ab615f43
7,3,4,18,6.00,4.00,0.00,agh.ics.oop.model.Genomes.Genomes@ab615f43
8,3,5,17,5.00,4.00,0.00,agh.ics.oop.model.Genomes.Genomes@ab615f43
9,3,6,16,4.00,4.00,0.00,agh.ics.oop.model.Genomes.Genomes@ab615f43
10,3,7,15,3.00,4.00,0.00,agh.ics.oop.model.Genomes.Genomes@ab615f43
11,3,7,15,4.00,4.00,0.00,agh.ics.oop.model.Genomes.Genomes@ab615f43
12,3,7,15,3.00,4.00,0.00,agh.ics.oop.model.Genomes.Genomes@ab615f43
13,2,7,15,5.00,7.00,0.00,agh.ics.oop.model.Genomes.Genomes@ab615f43
