Day,AnimalCount,PlantCount,EmptyBoxesCount,AverageEnergy,AverageLifeLength,AverageChildrenCount,MostCommonGenome
1,5,6,15,2.00,0.00,0.00,agh.ics.oop.model.Genomes.Genomes@770c47dd
2,5,6,15,2.20,0.00,0.00,agh.ics.oop.model.Genomes.Genomes@770c47dd
3,5,5,15,1.80,0.00,0.00,agh.ics.oop.model.Genomes.Genomes@770c47dd
4,2,5,15,5.00,4.00,0.00,agh.ics.oop.model.Genomes.Genomes@a1c229cb
5,2,7,16,4.00,4.00,0.00,agh.ics.oop.model.Genomes.Genomes@a1c229cb
6,2,7,16,4.50,4.00,0.00,agh.ics.oop.model.Genomes.Genomes@a1c229cb
7,2,8,15,3.50,4.00,0.00,agh.ics.oop.model.Genomes.Genomes@a1c229cb
8,2,10,14,2.50,4.00,0.00,agh.ics.oop.model.Genomes.Genomes@a1c229cb
9,2,10,13,1.50,4.00,0.00,agh.ics.oop.model.Genomes.Genomes@a1c229cb
10,1,11,12,2.00,5.50,0.00,agh.ics.oop.model.Genomes.Genomes@a1c229cb
11,1,12,12,1.00,5.50,0.00,agh.ics.oop.model.Genomes.Genomes@a1c229cb
12,1,12,12,0.00,5.50,0.00,agh.ics.oop.model.Genomes.Genomes@a1c229cb
13,0,12,13,0.00,7.00,0.00,null
14,0,12,13,0.00,7.00,0.00,null
15,0,13,12,0.00,7.00,0.00,null
16,0,13,12,0.00,7.00,0.00,null
17,0,14,11,0.00,7.00,0.00,null
18,0,15,10,0.00,7.00,0.00,null
19,0,16,9,0.00,7.00,0.00,null
20,0,17,8,0.00,7.00,0.00,null
21,0,17,8,0.00,7.00,0.00,null
22,0,18,7,0.00,7.00,0.00,null
23,0,18,7,0.00,7.00,0.00,null
24,0,20,5,0.00,7.00,0.00,null
25,0,20,5,0.00,7.00,0.00,null
26,0,20,5,0.00,7.00,0.00,null
27,0,20,5,0.00,7.00,0.00,null
28,0,20,5,0.00,7.00,0.00,null
29,0,20,5,0.00,7.00,0.00,null
30,0,20,5,0.00,7.00,0.00,null
31,0,20,5,0.00,7.00,0.00,null
32,0,21,4,0.00,7.00,0.00,null
33,0,21,4,0.00,7.00,0.00,null
34,0,21,4,0.00,7.00,0.00,null
35,0,21,4,0.00,7.00,0.00,null
36,0,21,4,0.00,7.00,0.00,null
37,0,22,3,0.00,7.00,0.00,null
38,0,22,3,0.00,7.00,0.00,null
39,0,22,3,0.00,7.00,0.00,null
40,0,22,3,0.00,7.00,0.00,null
41,0,23,2,0.00,7.00,0.00,null
42,0,23,2,0.00,7.00,0.00,null
43,0,23,2,0.00,7.00,0.00,null
44,0,23,2,0.00,7.00,0.00,null
45,0,23,2,0.00,7.00,0.00,null
46,0,23,2,0.00,7.00,0.00,null
47,0,23,2,0.00,7.00,0.00,null
48,0,23,2,0.00,7.00,0.00,null
49,0,23,2,0.00,7.00,0.00,null
50,0,23,2,0.00,7.00,0.00,null
51,0,23,2,0.00,7.00,0.00,null
52,0,23,2,0.00,7.00,0.00,null
53,0,23,2,0.00,7.00,0.00,null
54,0,23,2,0.00,7.00,0.00,null
55,0,23,2,0.00,7.00,0.00,null
56,0,23,2,0.00,7.00,0.00,null
57,0,23,2,0.00,7.00,0.00,null
58,0,23,2,0.00,7.00,0.00,null
59,0,23,2,0.00,7.00,0.00,null
60,0,23,2,0.00,7.00,0.00,null
61,0,23,2,0.00,7.00,0.00,null
62,0,23,2,0.00,7.00,0.00,null
63,0,23,2,0.00,7.00,0.00,null
64,0,23,2,0.00,7.00,0.00,null
65,0,23,2,0.00,7.00,0.00,null
66,0,23,2,0.00,7.00,0.00,null
67,0,23,2,0.00,7.00,0.00,null
68,0,23,2,0.00,7.00,0.00,null
69,0,23,2,0.00,7.00,0.00,null
70,0,23,2,0.00,7.00,0.00,null
71,0,23,2,0.00,7.00,0.00,null
72,0,23,2,0.00,7.00,0.00,null
73,0,23,2,0.00,7.00,0.00,null
74,0,23,2,0.00,7.00,0.00,null
