Day,AnimalCount,PlantCount,EmptyBoxesCount,AverageEnergy,AverageLifeLength,AverageChildrenCount,MostCommonGenome
1,5,4,16,99.60,0.00,0.00,agh.ics.oop.model.Genomes.Genomes@71a76ba6
2,5,4,16,99.20,0.00,0.00,agh.ics.oop.model.Genomes.Genomes@71a76ba6
3,6,4,17,81.83,0.00,0.33,agh.ics.oop.model.Genomes.Genomes@71a76ba6
4,6,6,13,80.83,0.00,0.33,agh.ics.oop.model.Genomes.Genomes@71a76ba6
5,6,6,13,79.83,0.00,0.33,agh.ics.oop.model.Genomes.Genomes@71a76ba6
6,7,6,14,67.57,0.00,0.57,agh.ics.oop.model.Genomes.Genomes@71a76ba6
7,9,8,12,51.78,0.00,0.89,agh.ics.oop.model.Genomes.Genomes@71a76ba6
8,10,7,11,46.60,0.00,1.00,agh.ics.oop.model.Genomes.Genomes@71a76ba6
9,12,7,12,38.50,0.00,1.17,agh.ics.oop.model.Genomes.Genomes@71a76ba6
10,15,7,11,30.40,0.00,1.33,agh.ics.oop.model.Genomes.Genomes@71a76ba6
11,15,7,9,29.87,4.00,1.33,agh.ics.oop.model.Genomes.Genomes@71a76ba6
12,15,5,9,29.33,5.00,1.40,agh.ics.oop.model.Genomes.Genomes@71a76ba6
13,15,5,8,28.53,5.00,1.40,agh.ics.oop.model.Genomes.Genomes@71a76ba6
14,15,6,8,27.60,5.33,1.47,agh.ics.oop.model.Genomes.Genomes@b07f69ff
15,14,6,9,28.86,5.60,1.57,agh.ics.oop.model.Genomes.Genomes@b07f69ff
16,13,4,9,30.77,5.67,1.62,agh.ics.oop.model.Genomes.Genomes@b07f69ff
17,12,2,12,33.33,5.71,1.67,agh.ics.oop.model.Genomes.Genomes@b07f69ff
18,14,3,13,27.93,5.71,1.71,agh.ics.oop.model.Genomes.Genomes@3f22d442
19,13,3,12,29.38,6.78,1.85,agh.ics.oop.model.Genomes.Genomes@3f22d442
20,12,4,11,31.08,6.70,1.92,agh.ics.oop.model.Genomes.Genomes@3f22d442
21,11,6,11,33.00,6.83,2.09,agh.ics.oop.model.Genomes.Genomes@3f22d442
22,12,6,10,29.83,6.83,2.08,agh.ics.oop.model.Genomes.Genomes@3f22d442
23,14,5,12,25.14,6.83,2.07,agh.ics.oop.model.Genomes.Genomes@3f22d442
