Day,AnimalCount,PlantCount,EmptyBoxesCount,AverageEnergy,AverageLifeLength,AverageChildrenCount,MostCommonGenome
1,5,5,15,2.60,0.00,0.00,07537117
2,5,6,14,2.20,0.00,0.00,07537117
3,5,5,15,1.80,0.00,0.00,07537117
4,2,6,16,3.50,4.00,0.00,61737653
5,2,8,15,2.50,4.00,0.00,61737653
6,2,8,15,3.00,4.00,0.00,61737653
7,1,8,15,8.00,4.75,0.00,20545501
8,1,9,15,7.00,4.75,0.00,20545501
9,1,9,15,6.00,4.75,0.00,20545501
10,1,9,15,8.00,4.75,0.00,20545501
11,1,9,15,10.00,4.75,0.00,20545501
12,1,8,16,12.00,4.75,0.00,20545501
13,1,7,17,14.00,4.75,0.00,20545501
14,1,8,16,13.00,4.75,0.00,20545501
15,1,8,16,12.00,4.75,0.00,20545501
16,1,8,16,11.00,4.75,0.00,20545501
17,1,9,15,10.00,4.75,0.00,20545501
18,1,9,15,12.00,4.75,0.00,20545501
19,1,10,14,14.00,4.75,0.00,20545501
20,1,10,14,13.00,4.75,0.00,20545501
21,1,9,15,15.00,4.75,0.00,20545501
22,1,9,15,14.00,4.75,0.00,20545501
