Day,AnimalCount,PlantCount,EmptyBoxesCount,AverageEnergy,AverageLifeLength,AverageChildrenCount,MostCommonGenome
1,6,4,17,83.00,0.00,0.33,agh.ics.oop.model.Genomes.Genomes@d9b49637
2,7,5,15,70.29,0.00,0.57,agh.ics.oop.model.Genomes.Genomes@d9b49637
3,8,5,14,61.38,0.00,0.75,agh.ics.oop.model.Genomes.Genomes@d9b49637
4,8,5,13,60.75,0.00,0.75,agh.ics.oop.model.Genomes.Genomes@a4dfe49c
5,8,5,12,60.50,0.00,0.75,agh.ics.oop.model.Genomes.Genomes@d9b49637
6,8,7,10,59.50,0.00,0.75,agh.ics.oop.model.Genomes.Genomes@d9b49637
7,8,7,11,58.88,0.00,0.75,agh.ics.oop.model.Genomes.Genomes@d9b49637
8,8,6,12,58.75,6.00,0.88,agh.ics.oop.model.Genomes.Genomes@a4dfe49c
9,7,6,12,66.57,6.00,0.86,agh.ics.oop.model.Genomes.Genomes@a4dfe49c
10,7,7,11,66.00,6.00,0.86,agh.ics.oop.model.Genomes.Genomes@a4dfe49c
11,8,8,11,57.25,6.00,1.00,agh.ics.oop.model.Genomes.Genomes@d9b49637
12,8,7,10,56.63,6.00,1.00,agh.ics.oop.model.Genomes.Genomes@d9b49637
13,10,7,12,44.80,6.00,1.20,agh.ics.oop.model.Genomes.Genomes@39585199
14,11,7,11,40.18,6.00,1.36,agh.ics.oop.model.Genomes.Genomes@39585199
15,12,6,9,36.67,6.00,1.42,agh.ics.oop.model.Genomes.Genomes@39585199
16,13,5,10,33.62,6.00,1.46,agh.ics.oop.model.Genomes.Genomes@39585199
17,14,7,9,30.36,5.50,1.50,agh.ics.oop.model.Genomes.Genomes@39585199
