Day,AnimalCount,PlantCount,EmptyBoxesCount,AverageEnergy,AverageLifeLength,AverageChildrenCount,MostCommonGenome
1,5,5,15,99.60,0.00,0.00,agh.ics.oop.model.Genomes.Genomes@a333daa7
2,6,5,16,82.67,0.00,0.33,agh.ics.oop.model.Genomes.Genomes@a8ef59ff
3,7,5,15,70.86,0.00,0.57,agh.ics.oop.model.Genomes.Genomes@a8ef59ff
4,7,3,15,71.14,0.00,0.57,agh.ics.oop.model.Genomes.Genomes@a8ef59ff
5,7,4,14,70.57,0.00,0.57,agh.ics.oop.model.Genomes.Genomes@a8ef59ff
6,7,5,13,70.00,0.00,0.57,agh.ics.oop.model.Genomes.Genomes@a8ef59ff
