Day,AnimalCount,PlantCount,EmptyBoxesCount,AverageEnergy,AverageLifeLength,AverageChildrenCount,MostCommonGenome
1,5,6,14,2.00,0.00,0.00,agh.ics.oop.model.Genomes.Genomes@3a20e2a0
2,5,5,15,2.20,0.00,0.00,agh.ics.oop.model.Genomes.Genomes@3a20e2a0
3,5,5,15,1.80,0.00,0.00,agh.ics.oop.model.Genomes.Genomes@3a20e2a0
4,3,6,16,3.00,4.00,0.00,agh.ics.oop.model.Genomes.Genomes@3a20e2a0
5,3,6,16,2.00,4.00,0.00,agh.ics.oop.model.Genomes.Genomes@3a20e2a0
6,3,7,15,1.00,4.00,0.00,agh.ics.oop.model.Genomes.Genomes@3a20e2a0
7,1,8,14,2.00,5.50,0.00,agh.ics.oop.model.Genomes.Genomes@3a20e2a0
8,1,10,14,1.00,5.50,0.00,agh.ics.oop.model.Genomes.Genomes@3a20e2a0
9,1,10,14,0.00,5.50,0.00,agh.ics.oop.model.Genomes.Genomes@3a20e2a0
10,0,10,14,0.00,6.40,0.00,null
11,0,11,14,0.00,6.40,0.00,null
12,0,11,14,0.00,6.40,0.00,null
13,0,11,14,0.00,6.40,0.00,null
14,0,12,13,0.00,6.40,0.00,null
