Day,AnimalCount,PlantCount,EmptyBoxesCount,AverageEnergy,AverageLifeLength,AverageChildrenCount,MostCommonGenome
1,124,1,34,15.35,0.00,0.39,15405350
2,141,1,28,12.70,0.00,0.58,15405350
3,149,1,23,11.13,0.00,0.66,15405350
4,161,1,20,9.39,0.00,0.76,15405350
5,167,1,24,8.10,0.00,0.80,15405350
6,170,1,16,7.03,0.00,0.82,15405350
7,178,1,19,5.81,0.00,0.88,15405350
8,181,2,16,4.73,0.00,0.90,15405350
9,183,1,17,3.80,0.00,0.91,15405350
10,90,1,15,5.81,10.00,0.78,12232246
11,63,2,44,6.87,10.03,0.68,12232246
12,51,3,53,7.25,10.03,0.65,12232246
13,45,2,56,7.53,10.03,0.58,33763612
14,40,2,60,7.60,10.04,0.58,33763612
15,33,3,63,8.00,10.05,0.48,23463476
16,30,4,65,7.70,10.04,0.43,23463476
17,27,5,72,7.44,10.04,0.37,37506312
18,25,5,73,7.36,10.04,0.32,37506312
19,24,6,72,6.63,10.04,0.29,37506312
20,21,7,71,6.43,10.22,0.33,37506312
21,20,8,75,5.70,10.28,0.35,37506312
22,17,9,73,5.53,10.39,0.24,37506312
23,16,8,77,6.00,10.45,0.25,37506312
24,11,7,78,8.82,10.72,0.18,50245257
25,12,8,82,7.17,10.72,0.33,50245257
26,12,6,82,7.92,10.72,0.33,67776540
27,9,5,83,10.67,10.88,0.33,50245257
28,9,6,86,9.67,10.93,0.56,60136526
