Day,AnimalCount,PlantCount,EmptyBoxesCount,AverageEnergy,AverageLifeLength,AverageChildrenCount,MostCommonGenome
1,5,4,91,11.00,0.00,0.00,46662001
2,5,4,91,12.00,0.00,0.00,46662001
3,5,5,90,11.00,0.00,0.00,46662001
4,5,6,89,10.00,0.00,0.00,46662001
5,5,7,89,9.00,0.00,0.00,46662001
6,5,8,87,8.00,0.00,0.00,46662001
7,5,9,86,7.00,0.00,0.00,46662001
8,5,9,86,7.60,0.00,0.00,46662001
9,5,10,85,6.60,0.00,0.00,46662001
10,2,11,84,14.00,10.00,0.00,23133043
11,2,12,86,13.00,10.00,0.00,23133043
12,2,13,85,12.00,10.00,0.00,23133043
13,2,14,84,11.00,10.00,0.00,23133043
14,2,15,83,10.00,10.00,0.00,23133043
15,2,16,82,9.00,10.00,0.00,23133043
16,2,17,81,8.00,10.00,0.00,23133043
17,2,18,80,7.00,10.00,0.00,23133043
18,2,19,79,6.00,10.00,0.00,23133043
19,2,20,78,5.00,10.00,0.00,23133043
20,1,21,78,8.00,12.50,0.00,23133043
21,1,22,77,7.00,12.50,0.00,23133043
22,1,23,76,6.00,12.50,0.00,23133043
23,1,24,75,5.00,12.50,0.00,23133043
24,1,25,74,4.00,12.50,0.00,23133043
25,1,26,73,3.00,12.50,0.00,23133043
26,1,27,72,2.00,12.50,0.00,23133043
27,1,28,71,1.00,12.50,0.00,23133043
28,0,29,70,0.00,15.60,0.00,null
29,0,30,70,0.00,15.60,0.00,null
30,0,31,69,0.00,15.60,0.00,null
31,0,32,68,0.00,15.60,0.00,null
32,0,33,67,0.00,15.60,0.00,null
33,0,34,66,0.00,15.60,0.00,null
34,0,35,65,0.00,15.60,0.00,null
35,0,36,64,0.00,15.60,0.00,null
36,0,37,63,0.00,15.60,0.00,null
37,0,38,62,0.00,15.60,0.00,null
38,0,39,61,0.00,15.60,0.00,null
39,0,40,60,0.00,15.60,0.00,null
40,0,41,59,0.00,15.60,0.00,null
41,0,42,58,0.00,15.60,0.00,null
42,0,43,57,0.00,15.60,0.00,null
43,0,44,56,0.00,15.60,0.00,null
44,0,45,55,0.00,15.60,0.00,null
45,0,46,54,0.00,15.60,0.00,null
46,0,47,53,0.00,15.60,0.00,null
47,0,48,52,0.00,15.60,0.00,null
48,0,49,51,0.00,15.60,0.00,null
49,0,50,50,0.00,15.60,0.00,null
50,0,51,49,0.00,15.60,0.00,null
51,0,52,48,0.00,15.60,0.00,null
52,0,53,47,0.00,15.60,0.00,null
53,0,54,46,0.00,15.60,0.00,null
54,0,55,45,0.00,15.60,0.00,null
55,0,56,44,0.00,15.60,0.00,null
56,0,57,43,0.00,15.60,0.00,null
57,0,58,42,0.00,15.60,0.00,null
58,0,59,41,0.00,15.60,0.00,null
59,0,60,40,0.00,15.60,0.00,null
60,0,61,39,0.00,15.60,0.00,null
61,0,62,38,0.00,15.60,0.00,null
62,0,63,37,0.00,15.60,0.00,null
63,0,64,36,0.00,15.60,0.00,null
64,0,65,35,0.00,15.60,0.00,null
65,0,66,34,0.00,15.60,0.00,null
66,0,67,33,0.00,15.60,0.00,null
67,0,68,32,0.00,15.60,0.00,null
68,0,69,31,0.00,15.60,0.00,null
69,0,70,30,0.00,15.60,0.00,null
70,0,71,29,0.00,15.60,0.00,null
71,0,72,28,0.00,15.60,0.00,null
72,0,73,27,0.00,15.60,0.00,null
73,0,74,26,0.00,15.60,0.00,null
74,0,75,25,0.00,15.60,0.00,null
75,0,76,24,0.00,15.60,0.00,null
76,0,77,23,0.00,15.60,0.00,null
77,0,78,22,0.00,15.60,0.00,null
78,0,79,21,0.00,15.60,0.00,null
79,0,80,20,0.00,15.60,0.00,null
80,0,81,19,0.00,15.60,0.00,null
81,0,82,18,0.00,15.60,0.00,null
82,0,83,17,0.00,15.60,0.00,null
83,0,84,16,0.00,15.60,0.00,null
84,0,85,15,0.00,15.60,0.00,null
85,0,86,14,0.00,15.60,0.00,null
86,0,87,13,0.00,15.60,0.00,null
87,0,88,12,0.00,15.60,0.00,null
88,0,89,11,0.00,15.60,0.00,null
