Day,AnimalCount,PlantCount,EmptyBoxesCount,AverageEnergy,AverageLifeLength,AverageChildrenCount,MostCommonGenome
1,5,5,90,9.00,0.00,0.00,12724354
2,5,6,89,8.00,0.00,0.00,12724354
3,5,7,88,7.00,0.00,0.00,12724354
4,5,8,87,6.00,0.00,0.00,12724354
5,5,8,87,7.00,0.00,0.00,12724354
6,5,9,87,6.00,0.00,0.00,12724354
7,5,10,85,5.00,0.00,0.00,12724354
8,5,9,86,7.60,0.00,0.00,12724354
9,5,10,85,6.60,0.00,0.00,12724354
10,2,11,84,14.00,10.00,0.00,12724354
11,2,12,86,13.00,10.00,0.00,12724354
12,2,13,85,12.00,10.00,0.00,12724354
13,2,14,84,11.00,10.00,0.00,12724354
14,2,15,83,10.00,10.00,0.00,12724354
15,2,15,83,12.50,10.00,0.00,12724354
