Day,AnimalCount,PlantCount,EmptyBoxesCount,AverageEnergy,AverageLifeLength,AverageChildrenCount,MostCommonGenome
1,101,4,9897,98.02,0.00,0.02,43200547
2,101,4,9896,97.02,0.00,0.02,43200547
3,103,4,9897,94.16,0.00,0.06,43200547
4,103,4,9895,93.16,0.00,0.06,43200547
5,103,4,9893,92.16,0.00,0.06,43200547
6,103,4,9893,91.16,0.00,0.06,43200547
7,103,4,9893,90.16,0.00,0.06,43200547
8,103,4,9894,89.16,0.00,0.06,43200547
9,103,4,9893,88.16,0.00,0.06,43200547
10,106,4,9898,84.69,0.00,0.11,43200547
11,106,4,9893,83.69,0.00,0.11,43200547
12,106,4,9892,82.69,0.00,0.11,43200547
13,107,4,9892,80.93,0.00,0.13,43200547
14,107,4,9889,79.93,0.00,0.13,43200547
15,107,4,9890,78.93,0.00,0.13,43200547
