Day,AnimalCount,PlantCount,EmptyBoxesCount,AverageEnergy,AverageLifeLength,AverageChildrenCount,MostCommonGenome
1,5,5,90,3.00,0.00,0.00,66771215
2,5,6,89,2.00,0.00,0.00,66771215
3,5,7,88,1.00,0.00,0.00,66771215
4,0,8,87,0.00,4.00,0.00,null
5,0,9,91,0.00,4.00,0.00,null
6,0,10,90,0.00,4.00,0.00,null
7,0,11,89,0.00,4.00,0.00,null
8,0,12,88,0.00,4.00,0.00,null
9,0,13,87,0.00,4.00,0.00,null
10,0,14,86,0.00,4.00,0.00,null
11,0,15,85,0.00,4.00,0.00,null
12,0,16,84,0.00,4.00,0.00,null
13,0,17,83,0.00,4.00,0.00,null
14,0,18,82,0.00,4.00,0.00,null
15,0,19,81,0.00,4.00,0.00,null
16,0,20,80,0.00,4.00,0.00,null
17,0,21,79,0.00,4.00,0.00,null
18,0,22,78,0.00,4.00,0.00,null
19,0,23,77,0.00,4.00,0.00,null
20,0,24,76,0.00,4.00,0.00,null
21,0,25,75,0.00,4.00,0.00,null
22,0,26,74,0.00,4.00,0.00,null
23,0,27,73,0.00,4.00,0.00,null
24,0,28,72,0.00,4.00,0.00,null
25,0,29,71,0.00,4.00,0.00,null
26,0,30,70,0.00,4.00,0.00,null
27,0,31,69,0.00,4.00,0.00,null
28,0,32,68,0.00,4.00,0.00,null
29,0,33,67,0.00,4.00,0.00,null
30,0,34,66,0.00,4.00,0.00,null
31,0,35,65,0.00,4.00,0.00,null
32,0,36,64,0.00,4.00,0.00,null
33,0,37,63,0.00,4.00,0.00,null
34,0,38,62,0.00,4.00,0.00,null
35,0,39,61,0.00,4.00,0.00,null
36,0,40,60,0.00,4.00,0.00,null
37,0,41,59,0.00,4.00,0.00,null
38,0,42,58,0.00,4.00,0.00,null
39,0,43,57,0.00,4.00,0.00,null
40,0,44,56,0.00,4.00,0.00,null
41,0,45,55,0.00,4.00,0.00,null
