Day,AnimalCount,PlantCount,EmptyBoxesCount,AverageEnergy,AverageLifeLength,AverageChildrenCount,MostCommonGenome
1,5,5,90,9.00,0.00,0.00,75757162
2,5,5,90,10.00,0.00,0.00,75757162
3,5,6,89,9.00,0.00,0.00,75757162
4,5,7,88,8.00,0.00,0.00,75757162
5,5,7,88,8.00,0.00,0.00,75757162
6,5,8,88,7.00,0.00,0.00,75757162
7,5,8,87,8.00,0.00,0.00,75757162
8,5,9,87,7.00,0.00,0.00,75757162
9,5,10,86,6.00,0.00,0.00,75757162
10,2,11,84,12.50,10.00,0.00,21112375
11,2,11,87,14.50,10.00,0.00,21112375
12,2,12,87,13.50,10.00,0.00,21112375
13,2,13,85,12.50,10.00,0.00,21112375
14,2,13,85,13.00,10.00,0.00,21112375
