Day,AnimalCount,PlantCount,EmptyBoxesCount,AverageEnergy,AverageLifeLength,AverageChildrenCount,MostCommonGenome
1,125,0,33,799.23,0.00,0.40,12403457
2,159,0,25,627.54,0.00,0.74,33763632
3,199,0,19,500.60,0.00,0.99,33763632
4,248,0,16,400.89,0.00,1.19,33763632
5,299,0,8,331.68,0.00,1.33,04765746
6,359,0,7,275.42,0.00,1.44,04765746
7,425,0,4,231.80,0.00,1.53,65767340
8,492,0,0,199.37,0.00,1.59,65767340
9,566,0,0,172.43,0.00,1.65,44165706
10,639,0,0,151.85,0.00,1.69,34403355
11,691,0,0,139.50,10.00,1.75,34403355
12,732,0,0,130.74,10.00,1.80,34403355
13,770,0,0,123.34,10.00,1.86,34403355
14,803,0,0,117.31,10.00,1.92,34403355
15,833,0,0,112.12,10.00,1.98,34403355
16,857,0,0,108.01,10.00,2.05,34403355
17,871,0,0,105.29,10.00,2.12,34403355
18,889,0,0,102.18,10.00,2.19,27775151
19,897,0,0,100.28,10.00,2.27,27775151
20,913,0,1,97.54,10.00,2.33,27775151
21,920,0,0,95.80,10.02,2.41,27775151
22,931,0,0,93.68,10.05,2.49,27775151
23,936,0,0,92.19,10.08,2.57,27775151
24,937,0,0,91.09,10.13,2.66,27775151
25,944,0,0,89.42,10.16,2.73,27775151
