Day,AnimalCount,PlantCount,EmptyBoxesCount,AverageEnergy,AverageLifeLength,AverageChildrenCount,MostCommonGenome
1,5,5,90,9.00,0.00,0.00,57065736
2,5,6,89,8.00,0.00,0.00,57065736
3,5,7,88,7.00,0.00,0.00,57065736
4,5,8,87,6.00,0.00,0.00,57065736
5,5,9,87,5.00,0.00,0.00,57065736
6,5,10,85,4.00,0.00,0.00,57065736
7,5,11,85,3.00,0.00,0.00,57065736
8,5,12,84,2.00,0.00,0.00,57065736
9,5,13,82,1.00,0.00,0.00,57065736
10,0,14,81,0.00,10.00,0.00,null
11,0,15,85,0.00,10.00,0.00,null
12,0,16,84,0.00,10.00,0.00,null
13,0,17,83,0.00,10.00,0.00,null
