Day,AnimalCount,PlantCount,EmptyBoxesCount,AverageEnergy,AverageLifeLength,AverageChildrenCount,MostCommonGenome
1,100,70,9830,99.00,0.00,0.00,03054270
2,100,100,9801,98.00,0.00,0.00,03054270
3,101,130,9772,96.04,0.00,0.02,03054270
4,102,157,9743,94.23,0.00,0.04,03054270
5,103,183,9717,92.48,0.00,0.06,03054270
6,104,212,9687,90.79,0.00,0.08,03054270
7,104,239,9658,90.12,0.00,0.08,03054270
8,104,267,9629,89.27,0.00,0.08,03054270
9,104,290,9607,88.75,0.00,0.08,03054270
10,105,317,9582,87.03,0.00,0.10,03054270
11,105,343,9554,86.22,0.00,0.10,03054270
12,106,369,9528,84.82,0.00,0.11,03054270
13,107,393,9502,83.52,0.00,0.13,03054270
14,108,419,9477,81.98,0.00,0.15,03054270
15,108,446,9446,81.21,0.00,0.15,03054270
16,109,470,9424,79.87,0.00,0.17,03054270
17,109,497,9395,79.23,0.00,0.17,03054270
