Day,AnimalCount,PlantCount,EmptyBoxesCount,AverageEnergy,AverageLifeLength,AverageChildrenCount,MostCommonGenome
1,5,5,90,9.00,0.00,0.00,25641702
2,5,6,89,8.00,0.00,0.00,25641702
3,5,7,88,7.00,0.00,0.00,25641702
4,5,7,88,8.00,0.00,0.00,25641702
5,5,8,87,7.00,0.00,0.00,25641702
6,5,9,86,6.00,0.00,0.00,25641702
7,5,9,87,6.40,0.00,0.00,25641702
8,5,10,85,5.40,0.00,0.00,25641702
9,5,11,84,4.40,0.00,0.00,25641702
10,1,12,83,17.00,10.00,0.00,02157540
11,1,12,87,20.00,10.00,0.00,02157540
12,1,13,86,19.00,10.00,0.00,02157540
13,1,13,86,20.00,10.00,0.00,02157540
14,1,14,85,19.00,10.00,0.00,02157540
15,1,15,84,18.00,10.00,0.00,02157540
16,1,16,83,17.00,10.00,0.00,02157540
17,1,17,82,16.00,10.00,0.00,02157540
