Day,AnimalCount,PlantCount,EmptyBoxesCount,AverageEnergy,AverageLifeLength,AverageChildrenCount,MostCommonGenome
1,5,24,9972,3.00,0.00,0.00,35147306
2,5,44,9954,2.00,0.00,0.00,35147306
3,5,64,9932,1.00,0.00,0.00,35147306
4,0,84,9913,0.00,4.00,0.00,null
5,0,100,9900,0.00,4.00,0.00,null
6,0,100,9900,0.00,4.00,0.00,null
7,0,100,9900,0.00,4.00,0.00,null
8,0,100,9900,0.00,4.00,0.00,null
9,0,100,9900,0.00,4.00,0.00,null
10,0,100,9900,0.00,4.00,0.00,null
11,0,100,9900,0.00,4.00,0.00,null
12,0,100,9900,0.00,4.00,0.00,null
13,0,100,9900,0.00,4.00,0.00,null
14,0,100,9900,0.00,4.00,0.00,null
15,0,100,9900,0.00,4.00,0.00,null
16,0,100,9900,0.00,4.00,0.00,null
17,0,100,9900,0.00,4.00,0.00,null
18,0,100,9900,0.00,4.00,0.00,null
19,0,100,9900,0.00,4.00,0.00,null
20,0,100,9900,0.00,4.00,0.00,null
21,0,100,9900,0.00,4.00,0.00,null
22,0,100,9900,0.00,4.00,0.00,null
23,0,100,9900,0.00,4.00,0.00,null
24,0,100,9900,0.00,4.00,0.00,null
25,0,100,9900,0.00,4.00,0.00,null
26,0,100,9900,0.00,4.00,0.00,null
27,0,100,9900,0.00,4.00,0.00,null
28,0,100,9900,0.00,4.00,0.00,null
29,0,100,9900,0.00,4.00,0.00,null
30,0,100,9900,0.00,4.00,0.00,null
31,0,100,9900,0.00,4.00,0.00,null
32,0,100,9900,0.00,4.00,0.00,null
33,0,100,9900,0.00,4.00,0.00,null
34,0,100,9900,0.00,4.00,0.00,null
35,0,100,9900,0.00,4.00,0.00,null
36,0,100,9900,0.00,4.00,0.00,null
37,0,100,9900,0.00,4.00,0.00,null
38,0,100,9900,0.00,4.00,0.00,null
39,0,100,9900,0.00,4.00,0.00,null
40,0,100,9900,0.00,4.00,0.00,null
41,0,100,9900,0.00,4.00,0.00,null
42,0,100,9900,0.00,4.00,0.00,null
43,0,100,9900,0.00,4.00,0.00,null
44,0,100,9900,0.00,4.00,0.00,null
45,0,100,9900,0.00,4.00,0.00,null
46,0,100,9900,0.00,4.00,0.00,null
47,0,100,9900,0.00,4.00,0.00,null
48,0,100,9900,0.00,4.00,0.00,null
