Day,AnimalCount,PlantCount,EmptyBoxesCount,AverageEnergy,AverageLifeLength,AverageChildrenCount,MostCommonGenome
1,5,4,91,11.00,0.00,0.00,37523050
2,5,5,90,10.00,0.00,0.00,37523050
3,5,6,89,9.00,0.00,0.00,37523050
4,5,7,88,8.00,0.00,0.00,37523050
5,5,7,88,9.00,0.00,0.00,37523050
6,5,8,87,8.00,0.00,0.00,37523050
7,5,9,86,7.00,0.00,0.00,37523050
8,5,10,85,6.00,0.00,0.00,37523050
9,5,10,85,6.80,0.00,0.00,37523050
10,2,11,84,14.50,10.00,0.00,37523050
11,2,12,86,13.50,10.00,0.00,37523050
12,2,13,85,12.50,10.00,0.00,37523050
13,2,14,84,11.50,10.00,0.00,37523050
14,2,15,83,10.50,10.00,0.00,37523050
15,2,16,82,9.50,10.00,0.00,37523050
16,2,17,81,8.50,10.00,0.00,37523050
17,2,18,80,7.50,10.00,0.00,37523050
18,2,19,79,6.50,10.00,0.00,37523050
19,2,20,78,5.50,10.00,0.00,37523050
20,1,21,77,9.00,12.50,0.00,00050546
21,1,22,77,8.00,12.50,0.00,00050546
22,1,23,76,7.00,12.50,0.00,00050546
23,1,23,76,16.00,12.50,0.00,00050546
24,1,24,75,15.00,12.50,0.00,00050546
25,1,24,75,20.00,12.50,0.00,00050546
26,1,25,74,19.00,12.50,0.00,00050546
27,1,26,74,18.00,12.50,0.00,00050546
28,1,27,72,17.00,12.50,0.00,00050546
29,1,28,71,16.00,12.50,0.00,00050546
30,1,29,70,15.00,12.50,0.00,00050546
31,1,30,69,14.00,12.50,0.00,00050546
32,1,31,68,13.00,12.50,0.00,00050546
33,1,32,67,12.00,12.50,0.00,00050546
34,1,33,66,11.00,12.50,0.00,00050546
35,1,34,65,10.00,12.50,0.00,00050546
36,1,35,64,9.00,12.50,0.00,00050546
37,1,35,64,18.00,12.50,0.00,00050546
38,1,35,65,20.00,12.50,0.00,00050546
39,1,35,64,20.00,12.50,0.00,00050546
40,1,35,65,20.00,12.50,0.00,00050546
41,1,35,64,20.00,12.50,0.00,00050546
42,1,35,64,20.00,12.50,0.00,00050546
43,1,35,64,20.00,12.50,0.00,00050546
44,1,35,64,20.00,12.50,0.00,00050546
45,1,36,63,19.00,12.50,0.00,00050546
46,1,37,62,18.00,12.50,0.00,00050546
47,1,38,61,17.00,12.50,0.00,00050546
48,1,39,60,16.00,12.50,0.00,00050546
49,1,40,59,15.00,12.50,0.00,00050546
50,1,41,58,14.00,12.50,0.00,00050546
51,1,42,57,13.00,12.50,0.00,00050546
52,1,43,56,12.00,12.50,0.00,00050546
53,1,43,57,20.00,12.50,0.00,00050546
54,1,43,57,20.00,12.50,0.00,00050546
