Day,AnimalCount,PlantCount,EmptyBoxesCount,AverageEnergy,AverageLifeLength,AverageChildrenCount,MostCommonGenome
1,5,5,90,9.00,0.00,0.00,70552337
2,5,6,90,8.00,0.00,0.00,70552337
3,5,7,88,7.00,0.00,0.00,70552337
4,5,7,88,8.00,0.00,0.00,70552337
5,5,8,87,7.00,0.00,0.00,70552337
6,5,8,87,8.00,0.00,0.00,70552337
7,5,9,86,7.00,0.00,0.00,70552337
8,5,10,85,6.00,0.00,0.00,70552337
9,5,10,86,6.80,0.00,0.00,70552337
10,2,11,84,14.50,10.00,0.00,70552337
11,2,12,86,13.50,10.00,0.00,70552337
12,2,12,86,14.00,10.00,0.00,70552337
13,2,12,86,18.00,10.00,0.00,70552337
14,2,13,85,17.00,10.00,0.00,70552337
15,2,13,86,17.50,10.00,0.00,70552337
16,2,14,84,16.50,10.00,0.00,70552337
17,2,15,83,15.50,10.00,0.00,70552337
18,2,16,82,14.50,10.00,0.00,70552337
19,2,17,81,13.50,10.00,0.00,70552337
20,2,18,80,12.50,10.00,0.00,70552337
21,2,19,79,11.50,10.00,0.00,70552337
22,2,20,78,10.50,10.00,0.00,70552337
23,2,21,77,9.50,10.00,0.00,70552337
24,2,22,76,8.50,10.00,0.00,70552337
25,2,22,76,12.50,10.00,0.00,70552337
26,2,22,76,12.00,10.00,0.00,70552337
27,2,22,76,11.50,10.00,0.00,70552337
28,2,22,76,11.00,10.00,0.00,70552337
29,2,23,75,10.00,10.00,0.00,70552337
30,1,24,75,18.00,15.00,0.00,00536257
31,1,24,75,20.00,15.00,0.00,00536257
32,1,25,74,19.00,15.00,0.00,00536257
33,1,26,73,18.00,15.00,0.00,00536257
34,1,27,72,17.00,15.00,0.00,00536257
35,1,28,71,16.00,15.00,0.00,00536257
36,1,29,70,15.00,15.00,0.00,00536257
37,1,30,69,14.00,15.00,0.00,00536257
38,1,31,68,13.00,15.00,0.00,00536257
39,1,32,67,12.00,15.00,0.00,00536257
40,1,32,67,20.00,15.00,0.00,00536257
41,1,33,66,19.00,15.00,0.00,00536257
42,1,33,66,20.00,15.00,0.00,00536257
43,1,34,65,19.00,15.00,0.00,00536257
44,1,35,65,18.00,15.00,0.00,00536257
45,1,35,64,20.00,15.00,0.00,00536257
46,1,35,64,20.00,15.00,0.00,00536257
47,1,35,64,20.00,15.00,0.00,00536257
48,1,36,63,19.00,15.00,0.00,00536257
49,1,37,62,18.00,15.00,0.00,00536257
50,1,38,61,17.00,15.00,0.00,00536257
51,1,39,60,16.00,15.00,0.00,00536257
52,1,40,59,15.00,15.00,0.00,00536257
53,1,41,58,14.00,15.00,0.00,00536257
54,1,42,57,13.00,15.00,0.00,00536257
55,1,42,58,20.00,15.00,0.00,00536257
56,1,42,58,20.00,15.00,0.00,00536257
57,1,42,57,20.00,15.00,0.00,00536257
58,1,42,58,20.00,15.00,0.00,00536257
59,1,42,58,20.00,15.00,0.00,00536257
60,1,42,57,20.00,15.00,0.00,00536257
61,1,42,57,20.00,15.00,0.00,00536257
62,1,42,57,20.00,15.00,0.00,00536257
63,1,42,57,20.00,15.00,0.00,00536257
64,1,43,56,19.00,15.00,0.00,00536257
65,1,44,55,18.00,15.00,0.00,00536257
66,1,45,54,17.00,15.00,0.00,00536257
67,1,46,53,16.00,15.00,0.00,00536257
68,1,47,52,15.00,15.00,0.00,00536257
69,1,48,51,14.00,15.00,0.00,00536257
70,1,49,50,13.00,15.00,0.00,00536257
71,1,49,50,20.00,15.00,0.00,00536257
72,1,49,50,20.00,15.00,0.00,00536257
73,1,49,51,20.00,15.00,0.00,00536257
74,1,49,50,20.00,15.00,0.00,00536257
75,1,49,50,20.00,15.00,0.00,00536257
76,1,49,50,20.00,15.00,0.00,00536257
77,1,49,50,20.00,15.00,0.00,00536257
78,1,49,50,20.00,15.00,0.00,00536257
79,1,49,50,20.00,15.00,0.00,00536257
80,1,49,50,20.00,15.00,0.00,00536257
81,1,50,49,19.00,15.00,0.00,00536257
82,1,50,49,20.00,15.00,0.00,00536257
83,1,51,48,19.00,15.00,0.00,00536257
84,1,52,47,18.00,15.00,0.00,00536257
85,1,53,46,17.00,15.00,0.00,00536257
86,1,54,45,16.00,15.00,0.00,00536257
87,1,54,46,20.00,15.00,0.00,00536257
88,1,54,46,20.00,15.00,0.00,00536257
89,1,54,46,20.00,15.00,0.00,00536257
90,1,54,45,20.00,15.00,0.00,00536257
91,1,54,45,20.00,15.00,0.00,00536257
92,1,54,45,20.00,15.00,0.00,00536257
93,1,54,45,20.00,15.00,0.00,00536257
94,1,54,45,20.00,15.00,0.00,00536257
95,1,54,45,20.00,15.00,0.00,00536257
96,1,55,44,19.00,15.00,0.00,00536257
97,1,56,43,18.00,15.00,0.00,00536257
98,1,57,42,17.00,15.00,0.00,00536257
99,1,57,42,20.00,15.00,0.00,00536257
100,1,58,41,19.00,15.00,0.00,00536257
101,1,59,40,18.00,15.00,0.00,00536257
102,1,60,39,17.00,15.00,0.00,00536257
103,1,60,40,20.00,15.00,0.00,00536257
104,1,60,40,20.00,15.00,0.00,00536257
105,1,60,40,20.00,15.00,0.00,00536257
106,1,60,39,20.00,15.00,0.00,00536257
107,1,60,39,20.00,15.00,0.00,00536257
108,1,60,39,20.00,15.00,0.00,00536257
109,1,60,39,20.00,15.00,0.00,00536257
110,1,60,39,20.00,15.00,0.00,00536257
111,1,60,39,20.00,15.00,0.00,00536257
112,1,61,38,19.00,15.00,0.00,00536257
113,1,62,37,18.00,15.00,0.00,00536257
114,1,63,36,17.00,15.00,0.00,00536257
115,1,64,35,16.00,15.00,0.00,00536257
116,1,65,34,15.00,15.00,0.00,00536257
117,1,66,33,14.00,15.00,0.00,00536257
118,1,67,32,13.00,15.00,0.00,00536257
119,1,67,33,20.00,15.00,0.00,00536257
120,1,67,33,20.00,15.00,0.00,00536257
121,1,67,32,20.00,15.00,0.00,00536257
122,1,67,32,20.00,15.00,0.00,00536257
123,1,67,32,20.00,15.00,0.00,00536257
124,1,67,32,20.00,15.00,0.00,00536257
