Day,AnimalCount,PlantCount,EmptyBoxesCount,AverageEnergy,AverageLifeLength,AverageChildrenCount,MostCommonGenome
1,130,3,35,14.63,0.00,0.46,76771535
2,149,1,32,11.93,0.00,0.66,76771535
3,157,1,21,10.38,0.00,0.73,76771535
4,163,1,26,9.09,0.00,0.77,62225636
5,167,1,18,7.96,0.00,0.80,62225636
6,169,1,23,6.91,0.00,0.82,62225636
7,173,1,16,5.83,0.00,0.84,62225636
8,177,1,18,4.78,0.00,0.87,62225636
9,180,1,15,3.77,0.00,0.89,62225636
10,92,2,17,5.42,10.00,0.79,61442533
11,65,2,40,6.28,10.02,0.77,61442533
12,47,1,47,7.72,10.05,0.68,61442533
13,39,2,58,8.10,10.05,0.64,62225636
14,37,2,64,7.62,10.05,0.70,61442533
15,33,3,68,7.42,10.05,0.64,61442533
