Day,AnimalCount,PlantCount,EmptyBoxesCount,AverageEnergy,AverageLifeLength,AverageChildrenCount,MostCommonGenome
1,123,2,31,15.47,0.00,0.37,37416271
2,139,1,30,12.83,0.00,0.56,37416271
3,151,1,30,10.90,0.00,0.68,37416271
4,158,1,27,9.47,0.00,0.73,37416271
5,162,2,22,8.26,0.00,0.77,37416271
6,163,2,14,7.28,0.00,0.77,37416271
7,166,3,14,6.16,0.00,0.80,37416271
8,169,3,15,5.11,0.00,0.82,37416271
9,173,1,19,4.15,0.00,0.84,37416271
10,85,1,24,6.42,10.00,0.71,43113136
11,64,2,46,7.20,10.03,0.63,43113136
12,49,1,50,8.20,10.03,0.51,43134373
13,38,2,62,9.29,10.04,0.37,43134373
14,33,3,67,9.55,10.04,0.30,43134373
15,31,4,70,9.10,10.04,0.29,43134373
16,30,4,66,8.70,10.04,0.27,43134373
17,30,4,69,7.87,10.04,0.30,43134373
18,26,3,71,8.62,10.09,0.19,43134373
19,23,3,74,9.04,10.09,0.09,43134373
20,19,4,74,9.74,10.34,0.00,43134373
21,19,5,78,8.74,10.34,0.00,43134373
22,17,6,77,8.65,10.46,0.00,43134373
23,16,5,79,9.13,10.52,0.00,43134373
24,14,5,80,9.43,10.64,0.00,43134373
